model,year,cylinders,engine_litres,power_hp,mass_kg,accel_0_100_s,region,fuel_efficiency_km_per_l
chevrolet cavalier 2-door,1982,4,1.84,88.0,1086.0,18.0,USA,14.45
pontiac j2000 se hatchback,1982,4,1.84,85.0,1168.0,16.2,USA,13.18
dodge aries se,1982,4,2.21,84.0,1145.0,16.0,USA,12.33
pontiac phoenix,1982,4,2.47,90.0,1241.0,18.0,USA,11.48
ford fairmont futura,1982,4,2.29,92.0,1300.0,16.4,USA,10.2
amc concord dl,1982,4,2.47,,1377.0,20.5,USA,9.78
volkswagen rabbit l,1982,4,1.72,74.0,898.0,15.3,Europe,15.31
mazda glc custom l,1982,4,1.49,68.0,919.0,18.2,Japan,15.73
mazda glc custom,1982,4,1.49,68.0,894.0,17.6,Japan,13.18
plymouth horizon miser,1982,4,1.72,63.0,964.0,14.7,USA,16.16
mercury lynx l,1982,4,1.61,70.0,964.0,17.3,USA,15.31
nissan stanza xe,1982,4,1.97,88.0,980.0,14.5,Japan,15.31
honda accord,1982,4,1.75,75.0,1000.0,14.5,Japan,15.31
toyota corolla,1982,4,1.77,70.0,1018.0,16.9,Japan,14.45
honda civic,1982,4,1.49,67.0,891.0,15.0,Japan,16.16
honda civic (auto),1982,4,1.49,67.0,891.0,15.7,Japan,13.6
datsun 310 gx,1982,4,1.49,67.0,905.0,16.2,Japan,16.16
buick century limited,1982,6,2.97,110.0,1336.0,16.4,USA,10.63
oldsmobile cutlass ciera (diesel),1982,6,4.29,85.0,1368.0,17.0,USA,16.16
chrysler lebaron medallion,1982,4,2.56,92.0,1173.0,14.5,USA,11.05
ford granada l,1982,6,3.8,112.0,1286.0,14.7,USA,9.35
toyota celica gt,1982,4,2.36,96.0,1209.0,13.9,Japan,13.6
dodge charger 2.2,1982,4,2.21,84.0,1075.0,13.0,USA,15.31
chevrolet camaro,1982,4,2.47,90.0,1338.0,17.3,USA,11.48
ford mustang gl,1982,4,2.29,86.0,1266.0,15.6,USA,11.48
vw pickup,1982,4,1.59,52.0,966.0,24.6,Europe,18.71
dodge rampage,1982,4,2.21,84.0,1041.0,11.6,USA,13.6
ford ranger,1982,4,1.97,79.0,1191.0,18.6,USA,11.9
chevy s-10,1982,4,1.95,82.0,1234.0,19.4,USA,13.18
